  PID TTY          TIME CMD
    1 ?        00:00:01 init
    2 ?        00:00:00 kthreadd
    3 ?        00:00:04 ksoftirqd/0
    7 ?        00:00:57 rcu_preempt
    8 ?        00:00:00 rcu_sched
    9 ?        00:00:00 rcu_bh
   10 ?        00:00:01 migration/0
   11 ?        00:00:02 watchdog/0
   12 ?        00:00:03 watchdog/1
   13 ?        00:00:01 migration/1
   14 ?        00:00:02 ksoftirqd/1
   17 ?        00:00:02 watchdog/2
   18 ?        00:00:01 migration/2
   19 ?        00:00:02 ksoftirqd/2
   22 ?        00:00:03 watchdog/3
   23 ?        00:00:01 migration/3
   24 ?        00:00:01 ksoftirqd/3
   27 ?        00:00:00 khelper
   28 ?        00:00:00 kdevtmpfs
   29 ?        00:00:00 netns
   30 ?        00:00:00 writeback
   31 ?        00:00:00 bioset
   32 ?        00:00:00 kblockd
   33 ?        00:00:00 khubd
   34 ?        00:00:00 devfreq_wq
   35 ?        00:08:04 cfinteractive
   46 ?        00:00:00 khungtaskd
   47 ?        00:01:10 kswapd0
   48 ?        00:00:00 fsnotify_mark
   49 ?        00:00:03 ecryptfs-kthrea
   50 ?        00:00:00 crypto
   62 ?        00:03:50 spi0
   69 ?        00:00:05 spi2
   81 ?        00:00:00 irq/196-rk808
   84 ?        00:00:00 irq/41-ff9a0000
   85 ?        00:00:00 irq/42-ff9a0000
   87 ?        00:00:00 dwc2
   88 ?        00:00:00 irq/69-rockchip
   89 ?        00:00:00 dm_bufio_cache
   90 ?        00:00:31 irq/423-cros_ec
   91 ?        00:00:00 irq/421-ff0c000
   94 ?        00:00:00 dwc2
   95 ?        00:00:00 system
   96 ?        00:00:00 carveout
   97 ?        00:00:00 chunk
   98 ?        00:00:00 binder
   99 ?        00:00:00 irq/195-TS3A227
  100 ?        00:00:00 irq/391-max9809
  101 ?        00:00:00 ipv6_addrconf
  114 ?        00:00:00 deferwq
  115 ?        00:00:08 irq/48-ff940000
  116 ?        00:00:00 irq/47-ff930000
  117 ?        00:00:00 irq/135-ff98000
  119 ?        00:00:00 kbase_job_fault
  123 ?        00:01:51 irq/419-i2c_tou
  125 ?        00:00:00 kdmflush
  126 ?        00:03:39 mmcqd/0
  127 ?        00:00:00 mmcqd/0boot0
  128 ?        00:00:00 mmcqd/0boot1
  129 ?        00:00:00 mmcqd/0rpmb
  130 ?        00:00:00 bioset
  131 ?        00:00:00 kverityd
  132 ?        00:00:00 bioset
  134 ?        00:00:00 ext4-rsv-conver
  148 ?        00:00:01 udevd
  150 ?        00:00:01 kworker/3:1H
  237 ?        00:00:07 jbd2/mmcblk0p1-
